docId,date,count
ACC_45614,2020-01-01,3
ACC_45614,2020-01-02,11
ACC_45614,2020-01-03,2
ACC_45614,2020-01-04,1
ACC_45614,2020-01-05,1
ACC_45614,2020-01-06,8
ACC_45614,2020-01-07,2
ACC_45614,2020-01-09,2
ACC_45614,2020-01-10,1
ACC_45614,2020-01-11,7
ACC_45614,2020-01-12,3
ACC_45614,2020-01-13,4
ACC_45614,2020-01-14,3
ACC_45614,2020-01-15,3
ACC_45614,2020-01-17,6
ACC_45614,2020-01-18,2
ACC_45614,2020-01-19,3
ACC_45614,2020-01-20,2
ACC_45614,2020-01-21,1
ACC_45614,2020-01-22,1
ACC_45614,2020-01-23,4
ACC_45614,2020-01-24,6
ACC_45614,2020-01-25,7
ACC_45614,2020-01-26,3
ACC_45614,2020-01-27,3
ACC_45614,2020-01-28,2
ACC_45614,2020-01-29,2
ACC_45614,2020-01-30,2
ACC_45614,2020-01-31,2
ACC_45614,2020-02-02,3
ACC_45614,2020-02-03,5
ACC_45614,2020-02-04,6
ACC_45614,2020-02-05,3
ACC_45614,2020-02-06,1
ACC_45614,2020-02-07,4
ACC_45614,2020-02-08,4
ACC_45614,2020-02-09,5
ACC_45614,2020-02-10,2
ACC_45614,2020-02-11,3
ACC_45614,2020-02-12,4
ACC_45614,2020-02-13,6
ACC_45614,2020-02-14,6
ACC_45614,2020-02-15,2
ACC_45614,2020-02-16,1
ACC_45614,2020-02-17,2
ACC_45614,2020-02-18,1
ACC_45614,2020-02-19,1
ACC_45614,2020-02-20,2
ACC_45614,2020-02-21,4
ACC_45614,2020-02-22,3
ACC_45614,2020-02-23,2
ACC_45614,2020-02-24,4
ACC_45614,2020-02-25,3
ACC_45614,2020-02-26,2
ACC_45614,2020-02-27,2
ACC_45614,2020-02-28,5
ACC_45614,2020-02-29,1
ACC_45614,2020-03-01,5
ACC_45614,2020-03-02,6
ACC_45614,2020-03-03,6
ACC_45614,2020-03-04,3
ACC_45614,2020-03-05,3
ACC_45614,2020-03-08,3
ACC_45614,2020-03-09,6
ACC_45614,2020-03-10,2
ACC_45614,2020-03-11,2
ACC_45614,2020-03-12,3
ACC_45614,2020-03-13,6
ACC_45614,2020-03-14,6
ACC_45614,2020-03-15,3
ACC_45614,2020-03-16,4
ACC_45614,2020-03-17,4
ACC_45614,2020-03-18,4
ACC_45614,2020-03-20,5
ACC_45614,2020-03-21,2
ACC_45614,2020-03-23,6
ACC_45614,2020-03-24,6
ACC_45614,2020-03-25,3
ACC_45614,2020-03-26,2
ACC_45614,2020-03-28,7
ACC_45614,2020-03-29,3
ACC_45614,2020-03-31,7
ACC_45614,2020-04-01,5
ACC_45614,2020-04-02,3
ACC_45614,2020-04-03,2
ACC_45614,2020-04-04,2
ACC_45614,2020-04-05,10
ACC_45614,2020-04-06,4
ACC_45614,2020-04-07,3
ACC_45614,2020-04-09,3
ACC_45614,2020-04-11,3
ACC_45614,2020-04-12,6
ACC_45614,2020-04-13,1
ACC_45614,2020-04-14,7
ACC_45614,2020-04-15,2
ACC_45614,2020-04-16,6
ACC_45614,2020-04-17,1
ACC_45614,2020-04-18,4
ACC_45614,2020-04-19,4
ACC_45614,2020-04-20,6
ACC_45614,2020-04-21,3
ACC_45614,2020-04-22,1
ACC_45614,2020-04-23,2
ACC_45614,2020-04-25,4
ACC_45614,2020-04-26,4
ACC_45614,2020-04-27,6
ACC_45614,2020-04-28,3
ACC_45614,2020-04-29,3
ACC_45614,2020-04-30,4
ACC_45614,2020-05-01,3
ACC_45614,2020-05-02,5
ACC_45614,2020-05-03,1
ACC_45614,2020-05-05,2
ACC_45614,2020-05-06,4
ACC_45614,2020-05-07,3
ACC_45614,2020-05-08,9
ACC_45614,2020-05-09,3
ACC_45614,2020-05-10,1
ACC_45614,2020-05-11,1
ACC_45614,2020-05-12,7
ACC_45614,2020-05-13,1
ACC_45614,2020-05-14,4
ACC_45614,2020-05-15,1
ACC_45614,2020-05-16,1
ACC_45614,2020-05-17,3
ACC_45614,2020-05-18,5
ACC_45614,2020-05-19,6
ACC_45614,2020-05-20,1
ACC_45614,2020-05-21,2
ACC_45614,2020-05-22,4
ACC_45614,2020-05-23,2
ACC_45614,2020-05-24,5
ACC_45614,2020-05-25,7
ACC_45614,2020-05-26,4
ACC_45614,2020-05-27,4
ACC_45614,2020-05-28,3
ACC_45614,2020-05-29,3
